,From,To,Country,Lower,Upper
111,WWT (MP),No WWT (MP),Netherlands,0.0,0.0
112,WWT (MP),Secondary WWT (MP),Netherlands,0.5,0.65
113,WWT (MP),Tertiary WWT (MP),Netherlands,0.35,0.5
114,Compost collection (small),Agricultural soil,Netherlands,0.0,0.75
115,Compost collection (small),Residential soil,Netherlands,0.0,0.51
116,Compost collection (small),Mixed waste collection,Netherlands,0.0,0.5
117,Compost (MP),Agricultural soil (MP),Netherlands,0.8,1.0
118,Compost (MP),Residential soil (MP),Netherlands,0.0,0.19999999999999996
119,Sludge collection,Sanitary landfill,Netherlands,0.0,0.5
120,Sludge collection,Incineration,Netherlands,0.0,0.55
121,Sludge collection,Elimination,Netherlands,0.0,0.51
122,Waste water (MP),Subsurface (MP),Netherlands,0.0,0.5
123,Consumer bottles,Consumer bottles at home,Netherlands,0.25,0.7
124,Consumer bottles on-the-go,Consumer bottles on-the-go non-deposit,Netherlands,0.050000000000000044,0.5
125,Consumer bottles at home,Consumer bottles at home non-deposit,Netherlands,0.0,0.19999999999999996
126,Packaging collection,Not collected,Netherlands,0.0,0.51
127,Mixed waste collection,Not collected,Netherlands,0.0,0.49
128,Compost,Residential soil,Netherlands,0.0,0.19999999999999996
129,Litter (roads),Road side,Netherlands,0.0,0.5
130,Storm water,WWT,Netherlands,0.75,1.0
131,Outdoor air (MP),Air precipitation (MP),Netherlands,0.9,1.0
132,Floors (MP),Mixed waste collection,Netherlands,0.0,1.0
